Site	Status	Sex	Protocol	sample_id	file name	file type	url
CKD	control	female	OPC method	MOHD_EA100006	MOHD_EA100006_peaks-pseudorep_GRCh38_v0.bigBed	Pseudorep peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100006/MOHD_EA100006_peaks-pseudorep_GRCh38_v0.bigBed
CKD	control	female	OPC method	MOHD_EA100006	MOHD_EA100006_peaks-FDR5_GRCh38_v0.bigBed	FDR 0.05 peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100006/MOHD_EA100006_peaks-FDR5_GRCh38_v0.bigBed
CKD	control	female	OPC method	MOHD_EA100006	MOHD_EA100006_signal-FC_GRCh38_v0.bigWig	Fold change signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100006/MOHD_EA100006_signal-FC_GRCh38_v0.bigWig
CKD	control	female	OPC method	MOHD_EA100006	MOHD_EA100006_signal-pvalue_GRCh38_v0.bigWig	p-value signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100006/MOHD_EA100006_signal-pvalue_GRCh38_v0.bigWig
CKD	case	male	Buffy Coat method	MOHD_EA100007	MOHD_EA100007_signal-FC_GRCh38_v0.bigWig	Fold change signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100007/MOHD_EA100007_signal-FC_GRCh38_v0.bigWig
CKD	case	male	Buffy Coat method	MOHD_EA100007	MOHD_EA100007_signal-pvalue_GRCh38_v0.bigWig	p-value signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100007/MOHD_EA100007_signal-pvalue_GRCh38_v0.bigWig
CKD	case	male	Buffy Coat method	MOHD_EA100007	MOHD_EA100007_peaks-pseudorep_GRCh38_v0.bigBed	Pseudorep peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100007/MOHD_EA100007_peaks-pseudorep_GRCh38_v0.bigBed
CKD	case	male	Buffy Coat method	MOHD_EA100007	MOHD_EA100007_peaks-FDR5_GRCh38_v0.bigBed	FDR 0.05 peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100007/MOHD_EA100007_peaks-FDR5_GRCh38_v0.bigBed
CKD	case	male	CPT method	MOHD_EA100008	MOHD_EA100008_peaks-pseudorep_GRCh38_v0.bigBed	Pseudorep peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100008/MOHD_EA100008_peaks-pseudorep_GRCh38_v0.bigBed
CKD	case	male	CPT method	MOHD_EA100008	MOHD_EA100008_signal-FC_GRCh38_v0.bigWig	Fold change signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100008/MOHD_EA100008_signal-FC_GRCh38_v0.bigWig
CKD	case	male	CPT method	MOHD_EA100008	MOHD_EA100008_signal-pvalue_GRCh38_v0.bigWig	p-value signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100008/MOHD_EA100008_signal-pvalue_GRCh38_v0.bigWig
CKD	case	male	CPT method	MOHD_EA100008	MOHD_EA100008_peaks-FDR5_GRCh38_v0.bigBed	FDR 0.05 peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100008/MOHD_EA100008_peaks-FDR5_GRCh38_v0.bigBed
CKD	case	male	OPC method	MOHD_EA100009	MOHD_EA100009_peaks-FDR5_GRCh38_v0.bigBed	FDR 0.05 peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100009/MOHD_EA100009_peaks-FDR5_GRCh38_v0.bigBed
CKD	case	male	OPC method	MOHD_EA100009	MOHD_EA100009_peaks-pseudorep_GRCh38_v0.bigBed	Pseudorep peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100009/MOHD_EA100009_peaks-pseudorep_GRCh38_v0.bigBed
CKD	case	male	OPC method	MOHD_EA100009	MOHD_EA100009_signal-pvalue_GRCh38_v0.bigWig	p-value signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100009/MOHD_EA100009_signal-pvalue_GRCh38_v0.bigWig
CKD	case	male	OPC method	MOHD_EA100009	MOHD_EA100009_signal-FC_GRCh38_v0.bigWig	Fold change signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100009/MOHD_EA100009_signal-FC_GRCh38_v0.bigWig
CKD	control	female	Buffy Coat method	MOHD_EA100010	MOHD_EA100010_peaks-FDR5_GRCh38_v0.bigBed	FDR 0.05 peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100010/MOHD_EA100010_peaks-FDR5_GRCh38_v0.bigBed
CKD	control	female	Buffy Coat method	MOHD_EA100010	MOHD_EA100010_signal-FC_GRCh38_v0.bigWig	Fold change signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100010/MOHD_EA100010_signal-FC_GRCh38_v0.bigWig
CKD	control	female	Buffy Coat method	MOHD_EA100010	MOHD_EA100010_peaks-pseudorep_GRCh38_v0.bigBed	Pseudorep peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100010/MOHD_EA100010_peaks-pseudorep_GRCh38_v0.bigBed
CKD	control	female	Buffy Coat method	MOHD_EA100010	MOHD_EA100010_signal-pvalue_GRCh38_v0.bigWig	p-value signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100010/MOHD_EA100010_signal-pvalue_GRCh38_v0.bigWig
CKD	control	female	CPT method	MOHD_EA100011	MOHD_EA100011_signal-pvalue_GRCh38_v0.bigWig	p-value signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100011/MOHD_EA100011_signal-pvalue_GRCh38_v0.bigWig
CKD	control	female	CPT method	MOHD_EA100011	MOHD_EA100011_signal-FC_GRCh38_v0.bigWig	Fold change signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100011/MOHD_EA100011_signal-FC_GRCh38_v0.bigWig
CKD	control	female	CPT method	MOHD_EA100011	MOHD_EA100011_peaks-FDR5_GRCh38_v0.bigBed	FDR 0.05 peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100011/MOHD_EA100011_peaks-FDR5_GRCh38_v0.bigBed
CKD	control	female	CPT method	MOHD_EA100011	MOHD_EA100011_peaks-pseudorep_GRCh38_v0.bigBed	Pseudorep peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100011/MOHD_EA100011_peaks-pseudorep_GRCh38_v0.bigBed
CKD	control	female	OPC method	MOHD_EA100012	MOHD_EA100012_peaks-pseudorep_GRCh38_v0.bigBed	Pseudorep peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100012/MOHD_EA100012_peaks-pseudorep_GRCh38_v0.bigBed
CKD	control	female	OPC method	MOHD_EA100012	MOHD_EA100012_signal-FC_GRCh38_v0.bigWig	Fold change signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100012/MOHD_EA100012_signal-FC_GRCh38_v0.bigWig
CKD	control	female	OPC method	MOHD_EA100012	MOHD_EA100012_peaks-FDR5_GRCh38_v0.bigBed	FDR 0.05 peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100012/MOHD_EA100012_peaks-FDR5_GRCh38_v0.bigBed
CKD	control	female	OPC method	MOHD_EA100012	MOHD_EA100012_signal-pvalue_GRCh38_v0.bigWig	p-value signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100012/MOHD_EA100012_signal-pvalue_GRCh38_v0.bigWig
